enr_pathway,one_lower_level,top_level,enr_description,one_lower_level_description,top_level_description
R-HSA-164843,R-HSA-5663205,R-HSA-1643685,2-LTR circle formation,Infectious disease,Disease
R-HSA-73843,R-HSA-71387,R-HSA-1430728,5-Phosphoribose 1-diphosphate biosynthesis,Metabolism of carbohydrates,Metabolism
R-HSA-1971475,R-HSA-71387,R-HSA-1430728,A tetrasaccharide linker sequence is required for GAG synthesis,Metabolism of carbohydrates,Metabolism
R-HSA-1971475,R-HSA-71387,R-HSA-1430728,A tetrasaccharide linker sequence is required for GAG synthesis,Metabolism of carbohydrates,Metabolism
R-HSA-5619084,R-HSA-5619115,R-HSA-1643685,ABC transporter disorders,Disorders of transmembrane transporters,Disease
R-HSA-1369062,R-HSA-382556,R-HSA-382551,ABC transporters in lipid homeostasis,ABC-family proteins mediated transport,Transport of small molecules
R-HSA-382556,R-HSA-382556,R-HSA-382551,ABC-family proteins mediated transport,ABC-family proteins mediated transport,Transport of small molecules
R-HSA-9033807,R-HSA-71387,R-HSA-1430728,ABO blood group biosynthesis,Metabolism of carbohydrates,Metabolism
R-HSA-9660821,R-HSA-5663205,R-HSA-1643685,ADORA2B mediated anti-inflammatory cytokines production,Infectious disease,Disease
R-HSA-418592,R-HSA-76002,R-HSA-109582,ADP signalling through P2Y purinoceptor 1,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-392170,R-HSA-76002,R-HSA-109582,ADP signalling through P2Y purinoceptor 12,"Platelet activation, signaling and aggregation",Hemostasis
R-HSA-198323,R-HSA-9006925,R-HSA-162582,AKT phosphorylates targets in the cytosol,Intracellular signaling by second messengers,Signal Transduction
R-HSA-198693,R-HSA-9006925,R-HSA-162582,AKT phosphorylates targets in the nucleus,Intracellular signaling by second messengers,Signal Transduction
R-HSA-211163,R-HSA-186712,R-HSA-1266738,AKT-mediated inactivation of FOXO1A,Regulation of beta-cell development,Developmental Biology
R-HSA-9700645,R-HSA-5663202,R-HSA-1643685,ALK mutants bind TKIs,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-112122,R-HSA-73942,R-HSA-73894,ALKBH2 mediated reversal of alkylation damage,DNA Damage Reversal,DNA Repair
R-HSA-112126,R-HSA-73942,R-HSA-73894,ALKBH3 mediated reversal of alkylation damage,DNA Damage Reversal,DNA Repair
R-HSA-163680,R-HSA-163685,R-HSA-1430728,AMPK inhibits chREBP transcriptional activation activity,Integration of energy metabolism,Metabolism
R-HSA-5467333,R-HSA-5663202,R-HSA-1643685,APC truncation mutants are not K63 polyubiquitinated,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-5467337,R-HSA-5663202,R-HSA-1643685,APC truncation mutants have impaired AXIN binding,Diseases of signal transduction by growth factor receptors and second messengers,Disease
R-HSA-179409,R-HSA-69278,R-HSA-1640170,APC-Cdc20 mediated degradation of Nek2A,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-174143,R-HSA-69278,R-HSA-1640170,APC/C-mediated degradation of cell cycle proteins,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-174048,R-HSA-69278,R-HSA-1640170,APC/C:Cdc20 mediated degradation of Cyclin B,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-174154,R-HSA-69278,R-HSA-1640170,APC/C:Cdc20 mediated degradation of Securin,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-176409,R-HSA-69278,R-HSA-1640170,APC/C:Cdc20 mediated degradation of mitotic proteins,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-174178,R-HSA-69278,R-HSA-1640170,APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-179419,R-HSA-69278,R-HSA-1640170,APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,"Cell Cycle, Mitotic",Cell Cycle
R-HSA-5649702,R-HSA-73884,R-HSA-73894,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Base Excision Repair,DNA Repair
R-HSA-180689,R-HSA-5663205,R-HSA-1643685,APOBEC3G mediated resistance to HIV-1 infection,Infectious disease,Disease
R-HSA-5624958,R-HSA-5617833,R-HSA-1852241,ARL13B-mediated ciliary trafficking of INPP5E,Cilium Assembly,Organelle biogenesis and maintenance
